Label,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Party?
P360,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,y,republican
P361,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,democrat
P362,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,?,democrat
P363,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y,democrat
P364,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n,republican
P365,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,republican
P366,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n,democrat
P367,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,?,democrat
P368,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,?,democrat
P369,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,democrat
P370,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,republican
P371,y,y,y,n,?,y,y,y,n,y,?,?,n,n,y,y,democrat
P372,y,y,y,n,?,n,y,y,y,y,n,n,n,n,y,?,democrat
P373,n,y,y,y,y,y,n,n,n,n,y,y,?,y,n,n,democrat
P374,n,y,y,?,y,y,n,y,n,y,?,n,y,y,?,y,democrat
P375,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P376,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n,democrat
P377,y,?,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P378,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?,republican
P379,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P380,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P381,y,y,y,n,n,y,?,y,y,n,y,n,y,n,y,y,democrat
P382,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,?,democrat
P383,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,?,democrat
P384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,democrat
P385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y,democrat
P386,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n,democrat
P387,n,?,y,n,y,y,n,y,n,n,y,n,n,n,n,?,democrat
P388,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,?,democrat
P389,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,?,democrat
P390,y,n,y,n,n,n,y,y,y,?,y,n,n,n,y,?,democrat
P391,?,?,n,n,?,y,?,n,n,n,y,y,n,y,n,?,democrat
P392,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,democrat
P393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
P394,?,?,?,?,n,y,n,y,y,n,n,y,y,n,n,?,republican
P395,y,y,?,?,?,y,n,n,n,n,y,n,y,n,n,y,democrat
P396,y,y,y,?,n,n,n,y,n,n,y,?,n,n,y,y,democrat
P397,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y,democrat
P398,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y,democrat
P399,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y,democrat
P400,n,y,n,y,?,y,n,n,n,y,n,y,y,y,n,n,republican
P401,n,y,n,y,y,y,n,?,n,n,?,?,?,y,n,?,republican
P402,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
P403,?,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y,republican
P404,n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n,republican
P405,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P406,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P407,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y,democrat
P408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,democrat
P409,y,n,y,n,n,y,y,y,y,n,n,y,?,y,y,y,democrat
P410,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P411,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
P412,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y,democrat
P413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P414,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y,republican
P415,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
P416,n,y,y,n,n,y,y,y,?,y,n,n,n,n,n,y,democrat
P417,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,republican
P418,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y,democrat
P419,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,democrat
P420,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
P421,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y,republican
P422,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y,democrat
P423,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y,democrat
P424,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
P425,n,y,y,n,n,?,y,y,y,y,y,n,?,y,y,y,democrat
P426,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,?,democrat
P427,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P428,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,republican
P429,?,?,?,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
P430,y,n,y,n,?,n,y,y,y,y,n,y,n,?,y,y,democrat
P431,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y,republican
P432,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
P433,n,?,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
P434,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y,republican
P435,n,y,n,y,y,y,n,n,n,y,n,y,y,y,?,n,republican
